Groupe de couches,Index de la couche,Nom de la couche,Nombre d'objets
34ff98f3-7891-4ea5-8962-de7355f8bb1c,280,H2.E.01,4
23d6b989-df2f-4d3c-9050-440e9a39b136,281,CONSTRUCTION,0
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,282,H2.C.15,8
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,283,H2.C.14,2
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,284,H2.C.13,2
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,285,H2.C.12,2
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,286,H2.C.11,8
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,287,H2.C.10,8
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,288,H2.C.09,3
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,289,H2.C.07,9
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,290,H2.C.06,7
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,291,H2.C.05,9
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,292,H2.C.04,16
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,293,H2.C.03,2
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,294,H2.C.02,6
109ffc02-e1d6-4a47-b61a-c6351b83f3fe,295,H2.4.08,9
b1332c37-b726-43e1-a2d9-c2713946f625,296,H1,0
7bff7919-df95-46a9-af73-eee84162e0b1,297,CONSTRUCTION,0
2c7f24af-4bc7-4bc0-9e9b-4a536fac5ae3,298,H1.C.01,8
